ID,text
40951,"<s>Human: This crash occurred in Cook County on 10/23/2022 at 21:00 o'clock. The crash happened in the city of Hazelcrest, classified as 10,000 – 25,000 area, on US Route No.609 at milepost 5.23. The roadway is classified as Minor Arterial, and the location was identified as an Urban Multilane Divided Non-Freeway. This crash was not related to an intersection.

The road surface was Dry with Darkness, Lighted Road lighting conditions and Clear weather at the time of the crash. The crash occurred on a Not Divided Two-way with Traffic Signal in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Driving On Wrong Side/Wrong Way, with secondary contributing cause (Failing to Reduce Speed to Avoid Crash).Vehicle 0, a 2018 model, was moving East and was traveling straight ahead before the crash.Vehicle 1, a 2005 model, was moving West and was traveling straight ahead before the crash.The driver was a 30-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 56-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <TWO>
<\s>"
173148,"<s>Human: This crash occurred in Cook County on 4/22/2022 at 14:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on None at milepost 0.0. The roadway is classified as Unknown, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Wet with Daylight lighting conditions and Rain weather at the time of the crash. The crash occurred on a Not Divided Two-way with No Controls in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Driving Skills/Knowledge/Experience, with secondary contributing cause (Unable to Determine).Vehicle 0, a (UNK) model, was moving East and was traveling straight ahead before the crash.Vehicle 1, a 2018 model, was moving East and was traveling straight ahead before the crash.The driver was a unknown-year-old gender unspecified with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 34-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ZERO>
<\s>"
274702,"<s>Human: This crash occurred in Cook County on 6/2/2022 at 10:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on Interstate Business Loop No.853 at milepost 24.29. The roadway is classified as Minor Arterial, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Unknown with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a Not Divided Two-way with Traffic Signal in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Unable to Determine, with secondary contributing cause (Unable to Determine).Vehicle 0, a 2010 model, was moving East and was traveling straight ahead before the crash.Vehicle 1, a 2018 model, was moving East and was traveling straight ahead before the crash.The driver was a 26-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.There was also a passenger, a unknown-year-old female, seated in the Center Front.The driver was a 54-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ONE>
<\s>"
148047,"<s>Human: This crash occurred in Macon County on 8/8/2022 at 0:00 o'clock. The crash happened in the city of Decatur, classified as Over 50,000 area, on Interstate Business Loop one-way couples No.10 at milepost 3.65. The roadway is classified as Other Principal Arterial, and the location was identified as an Urban Multilane Undivided Non-Freeway. This crash was not related to an intersection.

The road surface was Dry with Darkness lighting conditions and Clear weather at the time of the crash. The crash occurred on a One-Way with No Controls in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 1 vehicles. The primary cause of the crash was Distraction - From Inside Vehicle, with secondary contributing cause (Not Applicable).Vehicle 0, a 2015 model, was moving South and was traveling straight ahead before the crash.The driver was a 48-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at (N/A).</s>
<s>Assistant: <ONE>
<\s>"
88274,"<s>Human: This crash occurred in Will County on 2/2/2022 at 7:00 o'clock. The crash happened in the city of Plainfield, classified as 25,000 – 50,000 area, on Interstate Business Loop No.92 at milepost 2.04. The roadway is classified as Minor Arterial, and the location was identified as an Urban Multilane Divided Non-Freeway. This crash was not related to an intersection.

The road surface was Snow or slush with Daylight lighting conditions and Snow weather at the time of the crash. The crash occurred on a Divided, no median barrier Two-way with Traffic Signal in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Weather, with secondary contributing cause (Failing to Reduce Speed to Avoid Crash).Vehicle 0, a 2006 model, was moving East and was traveling straight ahead before the crash.Vehicle 1, a 2018 model, was moving North and was traveling straight ahead before the crash.The driver was a 39-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at .000.The driver was a 29-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at .000.</s>
<s>Assistant: <ONE>
<\s>"
83555,"<s>Human: This crash occurred in Will County on 1/31/2022 at 13:00 o'clock. The crash happened in the city of Unincorporated, classified as Unincorporated area, on None at milepost 0.0. The roadway is classified as Minor Arterial, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a Not Divided Two-way with No Controls in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Failing to Reduce Speed to Avoid Crash, with secondary contributing cause (Unable to Determine).Vehicle 0, a (UNK) model, was moving South and was traveling straight ahead before the crash.Vehicle 1, a 2019 model, was moving South and was traveling straight ahead before the crash.The driver was a 67-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at .000.The driver was a 52-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at .000.</s>
<s>Assistant: <ONE>
<\s>"
297661,"<s>Human: This crash occurred in Du Page County on 6/13/2022 at 15:00 o'clock. The crash happened in the city of Lisle, classified as 10,000 – 25,000 area, on Interstate Business Loop No.568 at milepost 1.79. The roadway is classified as Minor Arterial, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a Four way with Traffic Signal in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 1 vehicles. The primary cause of the crash was Not Applicable, with secondary contributing cause (Not Applicable).Vehicle 0, a 2011 model, was moving East and was traveling straight ahead before the crash.The driver was a 33-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ONE>
<\s>"
124422,"<s>Human: This crash occurred in Kane County on 4/2/2022 at 18:00 o'clock. The crash happened in the city of Aurora, classified as Over 50,000 area, on Business US Route No.059 at milepost 0.01. The roadway is classified as Local Road or Street, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a Not Divided Two-way with No Controls in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Improper Lane Usage, with secondary contributing cause (Not Applicable).Vehicle 0, a 2000 model, was moving East and was traveling straight ahead before the crash.Vehicle 1, a 2010 model, was moving West and was traveling straight ahead before the crash.The driver was a 64-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ONE>
<\s>"
4585,"<s>Human: This crash occurred in Cook County on 1/4/2022 at 5:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on Interstate No.4 at milepost 19.85. The roadway is classified as Interstate, and the location was identified as an Urban Freeways. This crash was not related to an intersection.

The road surface was Dry with Darkness, Lighted Road lighting conditions and Clear weather at the time of the crash. The crash occurred on a Divided - w/median barrier Two-way with Other Regualtory Sig in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Improper Lane Usage, with secondary contributing cause (Driving Skills/Knowledge/Experience).Vehicle 0, a 2010 model, was moving South and was traveling straight ahead before the crash.Vehicle 1, a (UNK) model, was moving Unknown and was traveling straight ahead before the crash.The driver was a unknown-year-old gender unspecified with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 29-year-old male with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.There was also a passenger, a 25-year-old female, seated in the Passenger.</s>
<s>Assistant: <ZERO>
<\s>"
232338,"<s>Human: This crash occurred in Cook County on 12/19/2022 at 21:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on None at milepost 0.0. The roadway is classified as Unknown, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Darkness, Lighted Road lighting conditions and Clear weather at the time of the crash. The crash occurred on a Not Divided Two-way with No Controls in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Not Applicable, with secondary contributing cause (Not Applicable).Vehicle 0, a 2015 model, was moving Unknown and was traveling straight ahead before the crash.Vehicle 1, a 2002 model, was moving Unknown and was traveling straight ahead before the crash.The driver was a 68-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 28-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ZERO>
<\s>"
89442,"<s>Human: This crash occurred in Cook County on 7/18/2022 at 19:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on None at milepost 0.0. The roadway is classified as Unknown, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a One-Way with Stop Sign in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Unable to Determine, with secondary contributing cause (Unable to Determine).Vehicle 0, a 2014 model, was moving West and was traveling straight ahead before the crash.Vehicle 1, a 2010 model, was moving North and was traveling straight ahead before the crash.The driver was a 24-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 25-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <TWO>
<\s>"
115032,"<s>Human: This crash occurred in Cook County on 7/28/2022 at 13:00 o'clock. The crash happened in the city of Chicago, classified as Chicago area, on Interstate Business Loop No.928 at milepost 2.26. The roadway is classified as Minor Collector, and the location was identified as an Urban 2 Lane Roads. This crash was not related to an intersection.

The road surface was Dry with Daylight lighting conditions and Clear weather at the time of the crash. The crash occurred on a Four way with Traffic Signal in place, and it was confirmed that the crash did not occur in a work zone.

The crash involved 2 vehicles. The primary cause of the crash was Unable to Determine, with secondary contributing cause (Unable to Determine).Vehicle 0, a 2018 model, was moving North and was traveling straight ahead before the crash.Vehicle 1, a (UNK) model, was moving East and was traveling straight ahead before the crash.The driver was a unknown-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.The driver was a 55-year-old female with no visible distractions, sitting in the Driver. The driver’s blood alcohol content was tested and measured at 96.</s>
<s>Assistant: <ONE>
<\s>"
